Episode,Avg length,Total prey reward,Avg prey reward,Total predator reward,Avg predator reward
79000,139,-78.9,-0.0776898786388347,-31.884,-0.0756812753642529
79500,137,-77.466,-0.07698266895919,-31.254,-0.0735536277069741
80000,137,-78.212,-0.0776129482348201,-31.666,-0.075042382749356
80500,137,-78.232,-0.0777809643262092,-30.834,-0.0730350145072235
81000,140,-77.946,-0.0769395545263978,-32.24,-0.0762238049522866
81500,138,-76.248,-0.0759724194679792,-31.598,-0.0749265333798657
82000,136,-77.656,-0.0771163745257373,-31.454,-0.0742105947319492
82500,140,-77.11,-0.0765953047269931,-30.938,-0.0725095317762458
83000,139,-78.024,-0.0769632824742752,-31.14,-0.0737960033308585
83500,136,-80.18,-0.0793614432396454,-32.79,-0.0775412868442148
84000,142,-77.436,-0.076272236547501,-33.226,-0.0783244282558048
84500,141,-76.754,-0.075513024753509,-31.318,-0.0748003644883476
85000,139,-77.786,-0.0768578222425343,-31.228,-0.0737730483970921
85500,142,-77.962,-0.0763144073272977,-32.998,-0.0783500395103097
86000,143,-78.21,-0.0764478614274855,-32.95,-0.0776420476690427
86500,138,-78.026,-0.0770278369139724,-32.156,-0.0760807597943281
87000,140,-77.692,-0.0767114211909414,-31.006,-0.0732685222757949
87500,138,-76.722,-0.0764528233582856,-30.664,-0.0723338863932271
88000,140,-77.714,-0.0770074711124724,-31.652,-0.0753654328196969
88500,141,-77.46,-0.0767661601042392,-32.024,-0.0761948867213004
89000,141,-76.856,-0.0763488075674714,-31.418,-0.07392634298202
89500,137,-78.458,-0.0778169028176463,-31.742,-0.0750021463125264
90000,138,-77.258,-0.0764627924239707,-30.816,-0.0731592980542926
90500,138,-77.67,-0.076822652540406,-30.92,-0.0739910034451881
91000,140,-77.966,-0.0769337747338534,-32.332,-0.0761898131217915
91500,140,-78.122,-0.0764763654681667,-32.444,-0.0768456763361847
92000,138,-77.106,-0.0760920410366674,-31.36,-0.074759035856336
92500,136,-79.508,-0.0795265157560753,-31.188,-0.0742909105940626
93000,139,-78.832,-0.0776075088449689,-31.554,-0.0745175788417225
93500,140,-78.088,-0.0770716043725745,-31.726,-0.0744195413764519
94000,140,-76.16,-0.0753473164629033,-30.918,-0.072800267647368
94500,141,-77.548,-0.0768233981863447,-31.376,-0.0743938707292088
95000,138,-77.252,-0.0759692376868628,-32.15,-0.0764508346827632
95500,139,-79.25,-0.0779785706597817,-32.496,-0.0776372265045959
96000,136,-78.068,-0.0774118642868253,-30.79,-0.0730403086996518
96500,140,-78.01,-0.076204236052536,-31.564,-0.07525689701587
97000,142,-76.914,-0.07502356560072,-31.616,-0.0748774414013604
97500,141,-75.514,-0.0746091524091923,-30.648,-0.0720139616842772
98000,139,-76.642,-0.0755657534910005,-30.768,-0.0731378713036581
98500,142,-77.948,-0.0765671782596106,-33.27,-0.0787585634253493
99000,141,-77.092,-0.0761886811965416,-31.358,-0.0741752595446724
99500,142,-76.29,-0.0752260055719627,-31.72,-0.0747818341665731
100000,137,-77.656,-0.0775300456384666,-30.514,-0.0717381272401799
100500,140,-77.126,-0.075849478559749,-31.248,-0.0741797697642474
101000,143,-75.336,-0.074494981860166,-31.178,-0.0731072249843284
101500,139,-77.026,-0.0761948993704175,-31.476,-0.0743079087200167
102000,138,-77.326,-0.0760682010402917,-31.52,-0.0746914383500069
102500,141,-76.418,-0.0759741532337047,-31.192,-0.0731591946350581
103000,141,-76.58,-0.0752953599495455,-32.374,-0.0764571934443208
103500,139,-74.44,-0.0746274983186909,-30.306,-0.0705740185396648
104000,141,-76.43,-0.0761288052992257,-31.642,-0.0740553273078978
104500,140,-75.924,-0.0751978428994361,-31.616,-0.0738921541039234
105000,138,-76.186,-0.0757326622340052,-30.16,-0.0715432581439965
105500,139,-74.88,-0.0746594459518237,-29.914,-0.0710117354606695
106000,142,-76.298,-0.0746945435307592,-31.546,-0.0745908124657678
106500,140,-77.746,-0.0762847219640224,-31.83,-0.0754909095112369
107000,140,-76.756,-0.0755925998611871,-31.216,-0.0738522066197451
107500,141,-75.03,-0.0746253890380629,-30.35,-0.0719266941347427
108000,143,-74.592,-0.0736699185493218,-31.564,-0.0735937304424904
108500,142,-74.908,-0.0741821068495989,-30.902,-0.0723501873040828
109000,142,-75.332,-0.074995908031728,-30.938,-0.072098596546559
109500,140,-76.944,-0.0763733240680638,-31.502,-0.074098584522128
110000,142,-74.192,-0.0736712365342482,-30.618,-0.0717558101829151
110500,138,-74.828,-0.0750616039051996,-29.754,-0.0700874674843761
111000,141,-78.184,-0.0767614297572947,-32.372,-0.0762674055983095
111500,140,-76.558,-0.0759360066321008,-31.372,-0.0737791418143172
112000,136,-78.122,-0.0772787678432948,-31.492,-0.074667039819656
112500,144,-77.744,-0.0758925609142674,-32.314,-0.0768481189056135
113000,137,-76.216,-0.0759178809061887,-30.896,-0.0729268362142247
113500,140,-77.474,-0.0769599900250124,-31.89,-0.07470793640472
114000,137,-77.95,-0.077672714316762,-31.416,-0.0739141013359222
114500,136,-76.496,-0.0766932879679375,-30.058,-0.0710391269933633
115000,143,-76.818,-0.0750728254276979,-32.23,-0.075677226989143
115500,138,-77.504,-0.0766285581231716,-30.892,-0.0728778107453637
116000,137,-76.058,-0.0754569537303179,-29.756,-0.0704620488376401
116500,138,-76.93,-0.0761183190117679,-31.138,-0.0733162101627739
117000,140,-77.102,-0.0763456811983753,-31.344,-0.0732450789751909
117500,144,-76.444,-0.0749326954316114,-33.03,-0.0774413123628503
118000,138,-79.006,-0.0785263821650738,-31.098,-0.0740081868636608
118500,138,-76.85,-0.0763346343940393,-30.958,-0.073312020099478
119000,144,-74.946,-0.0741882424821297,-31.104,-0.0727155724739321
119500,138,-78.428,-0.0778245489226749,-32.028,-0.0750572097714281
120000,138,-75.186,-0.0748592446844565,-30.14,-0.0702162424259348
120500,142,-76.856,-0.0755256440133857,-31.424,-0.0746753547282068
121000,143,-75.71,-0.0741245450321003,-32.0,-0.0747069699779081
121500,141,-77.092,-0.0760786647773007,-32.078,-0.0748201332209772
122000,141,-76.112,-0.0754831374733517,-31.062,-0.0725333614781857
122500,140,-77.092,-0.076468056327285,-31.346,-0.073556974011865
123000,144,-74.918,-0.0733767701430897,-32.184,-0.0749460375867817
123500,139,-77.356,-0.0769621508936687,-31.558,-0.0742485253226877
124000,139,-74.942,-0.0740354573912304,-30.152,-0.0719127870583267
124500,139,-76.882,-0.0761089409491347,-31.382,-0.0745159468983457
125000,140,-77.446,-0.0763807865401328,-30.95,-0.0739720582565759
125500,141,-77.114,-0.0764136314139196,-31.378,-0.0744947343851359
126000,136,-77.662,-0.0769007888014656,-30.8,-0.0734483948079577
126500,139,-76.294,-0.075951196781005,-30.028,-0.070761897769553
127000,137,-77.126,-0.0762004682627766,-31.01,-0.0737269989984957
127500,140,-76.806,-0.0759625468332601,-31.488,-0.0743692374249944
128000,138,-76.454,-0.0763496112965817,-30.926,-0.0728408105979508
128500,140,-75.022,-0.0749554510397337,-30.938,-0.0724821784212121
129000,140,-78.214,-0.07733801124709413,-31.948,-0.07563563811778178
129500,137,-77.536,-0.0770078406044974,-31.0,-0.07374748919464995
130000,142,-76.836,-0.07552198013447378,-32.766,-0.07688754904256997
130500,138,-78.138,-0.07658261932882236,-31.24,-0.0745187674370603
131000,144,-75.254,-0.07419639557112326,-32.128,-0.07548746840403366
131500,140,-78.304,-0.07684655459482623,-30.99,-0.07325168965155847
132000,138,-78.594,-0.07771692689046042,-31.714,-0.07497886110609703
132500,139,-78.524,-0.07764166259874844,-32.006,-0.07599326100938798
133000,140,-77.164,-0.0760538756263411,-31.774,-0.0754578079041147
133500,142,-75.986,-0.07556245981532639,-31.288,-0.07337189898500662
134000,140,-76.996,-0.0760377849034023,-31.09,-0.07330872765338098
134500,139,-76.146,-0.07589165095491587,-31.07,-0.07213074193949266
135000,135,-78.016,-0.07776097884169896,-30.518,-0.07301054107891745
135500,141,-77.166,-0.07625301346974922,-30.91,-0.07274035584696861
136000,139,-77.384,-0.07676401191649766,-31.414,-0.07455693726001549
136500,143,-75.628,-0.0746020473574526,-31.876,-0.07435796472961585
137000,139,-77.054,-0.07637325272490056,-30.172,-0.07129842588516598
137500,140,-76.452,-0.07580378171293901,-31.894,-0.07450477210972352
138000,141,-76.936,-0.07596985786005259,-31.892,-0.07534846832887614
138500,137,-78.37,-0.07778474285347728,-31.648,-0.07499758741331179
139000,140,-77.668,-0.0766889521974299,-31.332,-0.07455517250588306
139500,141,-76.44,-0.07563391958771488,-31.048,-0.07348440377516842
140000,138,-78.618,-0.07763861199256729,-31.61,-0.07511307737102242
140500,136,-76.484,-0.07636841916416802,-30.99,-0.07242168075718865
141000,139,-77.282,-0.07637960255381103,-30.346,-0.07187389654830577
141500,138,-78.868,-0.0780187178838483,-32.14,-0.07635283678101792
142000,141,-77.954,-0.0767404832147375,-31.35,-0.07424210927703305
142500,139,-78.84,-0.07795877648664969,-32.824,-0.07718013620833848
143000,135,-76.556,-0.0771350502579936,-28.64,-0.06888778761676227
143500,139,-77.252,-0.07670417518669564,-30.244,-0.07200794231043034
144000,141,-78.424,-0.07735716464995514,-30.978,-0.07373929947034773
144500,138,-77.966,-0.07720311770707622,-32.118,-0.07560671639166346
145000,139,-78.42,-0.07714752438711528,-32.394,-0.07662386227277566
145500,140,-77.33,-0.07663603133741319,-30.81,-0.07189237019906039
146000,140,-75.758,-0.07513106075399786,-31.04,-0.07291933708755043
146500,142,-75.77,-0.07530898726128381,-30.962,-0.072693831036251
147000,137,-76.846,-0.07661149355897301,-31.008,-0.07240545573074678
147500,138,-76.608,-0.07634550164447362,-30.912,-0.07329514523463256
148000,139,-78.118,-0.07752771212571789,-31.42,-0.07364390566971367
148500,136,-78.44,-0.07803776571501392,-31.098,-0.0731975764177473
149000,138,-76.53,-0.07601859124098344,-29.496,-0.07084432739170944
149500,141,-74.032,-0.07411860028943057,-30.412,-0.07126254136230116
150000,140,-76.926,-0.07547329722954886,-31.114,-0.07392386326913525
150500,143,-76.248,-0.07509282738324417,-30.774,-0.07269908505234823
151000,138,-76.214,-0.07601949562372327,-30.768,-0.07222106099693171
151500,140,-75.922,-0.07517759873757945,-29.858,-0.07110492249309473
152000,137,-76.852,-0.07591396983760142,-31.404,-0.07428081662816467
152500,138,-76.21,-0.07566463652634992,-31.782,-0.07447650036145184
153000,135,-78.254,-0.07821011826361506,-30.492,-0.07271763952759228
153500,140,-75.248,-0.07491385537586769,-30.354,-0.07104937907676762
154000,144,-74.53,-0.07379684716517819,-30.59,-0.07249619591055063
154500,139,-76.42,-0.07583717423640364,-30.164,-0.07182227618780669
155000,139,-75.96,-0.07490334108380872,-30.836,-0.07272062244930011
155500,135,-76.744,-0.07671667125866119,-30.064,-0.07132141153548636
156000,137,-75.494,-0.07531623338541125,-29.146,-0.06885710724881886
156500,136,-76.792,-0.07645877365219766,-30.76,-0.0735165330683368
157000,137,-74.328,-0.07458011016422932,-29.338,-0.06943885901056915
157500,139,-75.238,-0.07487555769247103,-30.938,-0.07279060653708301
158000,140,-75.404,-0.07441808840080995,-30.87,-0.07261080375249339
158500,141,-75.236,-0.07415773400576108,-30.432,-0.07175047390267604
159000,139,-75.378,-0.07511329313613589,-29.948,-0.07070197608894972
159500,139,-75.434,-0.07449134143574103,-29.974,-0.07116084834737611
160000,141,-76.264,-0.07481282275555828,-30.904,-0.0734879727222681
160500,136,-76.22,-0.07645254359145824,-29.398,-0.06990721213163417
161000,141,-74.762,-0.07448168629478838,-29.798,-0.07029171605647964
161500,139,-74.236,-0.07433786014062363,-29.908,-0.07039190176959792
162000,141,-74.868,-0.07407644289204318,-30.504,-0.0721353592103222
162500,138,-76.546,-0.07627581491475825,-29.01,-0.06877396280757411
163000,137,-77.284,-0.07700297422924991,-30.774,-0.07236304257674478
163500,143,-74.23,-0.07320387682257358,-30.524,-0.07222117831263443
164000,139,-74.074,-0.07382618241638608,-29.376,-0.06786726779773254
164500,140,-74.83,-0.07449159145607484,-30.82,-0.07214785884552438
165000,135,-78.062,-0.07777210120656085,-31.648,-0.07475629049934043
165500,136,-77.114,-0.0762278123201802,-30.21,-0.07028857557676794
166000,137,-76.24,-0.0754640898005102,-29.974,-0.07090887571576845
166500,135,-77.134,-0.07750964909929553,-29.642,-0.07015049270096473
167000,142,-76.586,-0.07530491306623302,-31.388,-0.07371039757769472
167500,138,-75.166,-0.07490662547809865,-29.662,-0.07038330154138103
168000,138,-77.092,-0.07666469913607958,-31.244,-0.07407026137996084
168500,138,-77.592,-0.07705708150164406,-31.528,-0.07500962462384805
169000,142,-75.81,-0.07507403882112854,-31.244,-0.07358172894926267
169500,137,-77.456,-0.07669063763889553,-30.418,-0.07218051815125301
170000,136,-76.754,-0.07648117345655363,-29.816,-0.07072981732244235
170500,136,-77.482,-0.07693892510884875,-29.982,-0.07157314661350099
171000,137,-76.224,-0.07601003665289129,-30.73,-0.07261121213368346
171500,136,-74.974,-0.07525796533105941,-29.334,-0.0687354422357096
172000,135,-76.604,-0.07703979822542482,-29.976,-0.06961827394112635
172500,140,-72.876,-0.07265513287653982,-29.122,-0.06875177527515264
173000,136,-75.1,-0.07538403671146528,-30.742,-0.07141876226284374
173500,140,-74.934,-0.074777361931479,-30.074,-0.07042615512933487
174000,139,-76.372,-0.07556968923523813,-30.616,-0.07254090681121976
174500,137,-75.522,-0.07507561315429459,-29.402,-0.0702111820201093
175000,140,-75.774,-0.07524652474851463,-30.854,-0.0728019336848731
175500,135,-79.138,-0.07890106395986911,-31.786,-0.07498007265054085
176000,139,-73.466,-0.07353817162739545,-29.126,-0.06848574001608353
176500,137,-77.224,-0.07635672916143879,-31.152,-0.07385968840284377
177000,139,-74.176,-0.07357805601120387,-29.862,-0.07000783514488824
177500,138,-76.456,-0.07614648558749972,-29.968,-0.07073769758063207
178000,138,-75.302,-0.07469302586741643,-29.678,-0.0700037101402028
178500,140,-75.232,-0.07456550603363025,-31.466,-0.07349288832207841
179000,139,-73.53,-0.07273238861594261,-29.916,-0.06928488833964726
179500,141,-74.69,-0.07438638452492607,-30.038,-0.07016928392841329
180000,136,-77.088,-0.07634043740770562,-30.022,-0.07199776068613573
180500,142,-72.474,-0.07174615005433359,-29.764,-0.06955451912042268
181000,135,-74.442,-0.07478454270852333,-28.998,-0.06842802304971729
181500,141,-74.808,-0.07394926633687857,-30.926,-0.07313064966716618
182000,138,-75.88,-0.07523632018823247,-30.03,-0.07112562174918069
182500,139,-77.102,-0.07640938499911869,-30.82,-0.07291299906739114
183000,136,-77.382,-0.07691422697404,-29.926,-0.07097508753642204
183500,136,-75.156,-0.07467626069936638,-29.302,-0.06787256388162037
184000,136,-76.86,-0.07677624821669554,-29.878,-0.07081468985005343
184500,141,-74.632,-0.07470854179084878,-29.562,-0.06990328696765932
185000,139,-74.672,-0.07460479087359335,-29.786,-0.06948554671579373
