Episode,Avg length,Total prey reward,Avg prey reward,Total predator reward,Avg predator reward
200,92,-16.394419486219775,-0.1889536624046328,6.264271924104884,0.12852584672459474
400,92,-16.816771416750008,-0.1876114213862451,7.281403832444142,0.13569490313875587
600,91,-16.19823047104062,-0.1927336064328196,6.21031049294053,0.14688602500799355
800,91,-16.44025550725753,-0.18974811519154447,7.263963932124622,0.14914135355677272
1000,95,-17.095455469917837,-0.18103667749856892,6.523177231814697,0.08819795921962179
1200,91,-16.386117676016717,-0.19774675828888078,7.009033986691642,0.16403594864192234
1400,96,-17.51351179603862,-0.18870976977481813,7.8605279873312695,0.11346543395940228
1600,91,-16.15400697914187,-0.18476059778203627,7.094116093353996,0.1435570187893507
1800,92,-16.68744981285115,-0.20446236603701692,7.277000958165579,0.18070904734161375
2000,93,-16.883407513562748,-0.18419690404650205,7.333501165866247,0.11165175435962996
2200,94,-16.704534956352862,-0.18618344184872154,6.390552350933794,0.12675012065643737
2400,92,-16.481921191555063,-0.18880056412158752,6.75520751604079,0.134709212692623
2600,93,-16.165976582488355,-0.18834770072933513,5.650603130585082,0.129877777957169
2800,94,-16.76164382254186,-0.18334248344910184,6.379626575096163,0.1085110154121638
3000,92,-16.41684773557229,-0.18451474062629586,7.157543902865627,0.1337112841174574
3200,88,-15.08417940511402,-0.19436781753347113,5.5872302591191545,0.18329003087149698
3400,93,-16.685226436994895,-0.1967039840434402,6.329226307950579,0.15904925173850828
3600,93,-16.77319141145551,-0.1892832904746897,7.030905778595075,0.13739753979197847
3800,92,-16.573863411961575,-0.19153357657461106,6.968858547809103,0.14994980782397424
4000,93,-16.789940127874576,-0.18565617656709932,6.261411413067708,0.11310125795541875
4200,91,-16.373924924175014,-0.19047897338437658,7.495516120515978,0.16926032328357965
4400,93,-16.330993884905034,-0.180516810628928,5.964978595714722,0.11039425332496368
4600,94,-16.077687560840644,-0.1890107353054707,5.1651703387621435,0.1306831755639608
4800,93,-16.74724011110445,-0.18507538399514664,7.295195857064373,0.11624716555005107
5000,91,-16.59762201058091,-0.19533370861945304,7.423549096655338,0.16547213592551993
5200,96,-17.024727123176724,-0.18332595116294967,6.426664988180895,0.09658473163860729
5400,96,-16.88544920049213,-0.18112703874882133,6.599030175941051,0.09746838697086212
5600,93,-16.29315855645352,-0.19187394999861693,6.075844693136782,0.14265180987344528
5800,90,-16.451480249311494,-0.20252707518252414,7.707710968979419,0.17353200970417984
6000,91,-16.590156430528214,-0.19689416978101953,7.763710798782088,0.1534364488698745
6200,92,-16.473049705833606,-0.19434348464195406,6.603814918006966,0.1418728292224123
6400,93,-16.430736154993788,-0.17954503103910086,6.35477789568454,0.10089527075121366
6600,93,-16.59823628587361,-0.19080919566730237,6.519981219149229,0.13524932450399918
6800,92,-16.46631211786258,-0.19452818055459023,6.8506413915606,0.14699685725114972
7000,92,-16.696363694613787,-0.1861888230091504,8.251137971387134,0.12973512286499464
7200,92,-16.606669213036625,-0.18961549381990708,7.636221422097008,0.13674082182866162
7400,93,-15.933184534912904,-0.1882273940840222,5.1889655241663455,0.13536284519330027
7600,92,-16.532629582280734,-0.19594763149756703,6.895191083359529,0.14915155450272796
7800,89,-16.38000749654138,-0.20521817835916342,7.970130102145306,0.19373772298574918
8000,95,-16.660139732065403,-0.18050002225049183,6.1773818220301235,0.09595433574302042
8200,90,-16.26359671482199,-0.20345722581246864,7.352162074580942,0.19860055512395827
8400,88,-15.584836933414158,-0.1906309359798298,7.057271703790819,0.1547786127858478
8600,90,-16.6222585053732,-0.2042848989491966,8.307075256545064,0.18661751903291923
8800,91,-16.243513164710013,-0.1855542169551346,6.785003232355025,0.13360777322313264
9000,91,-16.86200513836939,-0.19960297314975592,8.31995352855413,0.17073091816186728
9200,92,-16.369780845427943,-0.18980440263914566,6.735447247566009,0.13774469496676625
9400,93,-16.720680441813606,-0.1913723670461316,8.028382923204148,0.14436829629107306
9600,91,-16.55538615937139,-0.194578748040675,7.251645328554279,0.15903882423044413
9800,90,-16.46832080638117,-0.2024690549410623,8.27773422906975,0.1900571494957708
10000,89,-15.91341352191549,-0.198194742858078,8.50784954537316,0.205300015060243
10200,93,-16.751155812553016,-0.18607218147484145,7.789949618585333,0.1273349055062123
10400,89,-15.99222046776719,-0.20708716709474906,7.867931456531673,0.20751993207404681
10600,92,-16.50902799531312,-0.19060463495380045,6.959333154603643,0.1386409268152014
10800,93,-16.46346556141734,-0.1845309419406519,6.764027371369781,0.12145597254334944
11000,93,-16.723096615012597,-0.18747921385039523,6.743305115953421,0.12713033831680093
11200,92,-16.763370643932046,-0.197284569207361,7.138373350025843,0.1657758439426095
11400,94,-17.167689062065925,-0.1869709955861617,8.17891474412196,0.11884762155363533
11600,88,-15.778350414288564,-0.2025765296418557,6.737482331903911,0.19308440093023713
11800,94,-16.26768206249642,-0.17737510385729427,6.844603080807806,0.10832507375544971
12000,93,-16.834012918954055,-0.18938144472350746,7.6501466596950936,0.13833538721571487
12200,91,-16.369526390592547,-0.18910785119030116,7.546555745474686,0.1417928151931792
12400,92,-16.953242589096817,-0.20336607069595578,8.17678767821832,0.18033872329265285
12600,91,-16.72478241440353,-0.19461129867050464,8.266135925063775,0.15919455019137943
12800,90,-16.451504340844473,-0.20198342210985223,7.83513221731195,0.1985222796829792
13000,90,-17.110663616797204,-0.20439383732961233,9.757968498821167,0.18452762923506721
13200,88,-16.610822466057417,-0.20889294067247494,8.78739905904738,0.20988759118546388
13400,92,-16.45038661192669,-0.18790099114846487,7.85171722557005,0.14758499973048442
13600,90,-16.1903945113796,-0.19429188393835692,7.764370557813871,0.1621409588423175
13800,92,-16.689339963600023,-0.19790265423074224,8.129406380641457,0.1653581509417814
14000,92,-17.28241615770332,-0.19272810302735688,9.785759959083741,0.14342628446789843
14200,94,-17.110281779613533,-0.18730345210374896,8.70226261603347,0.14278269735798116
14400,90,-16.447751893233516,-0.19085518555609807,9.007518855188966,0.1645156583172386
14600,90,-16.988835574012803,-0.21031857106512042,9.929968278472616,0.2246373065998254
14800,89,-16.00218329605517,-0.194083616356739,8.610910261369629,0.19270817595649453
15000,92,-17.303865267222292,-0.19907477318855166,9.851634328108936,0.16516218011896847
15200,91,-17.34859891064082,-0.20424873198829857,9.449783661820508,0.17579346924457426
15400,89,-17.097470797535014,-0.2056170591807609,10.947221146685639,0.19459794674041
15600,91,-17.395195208967767,-0.20263310894301487,10.058544937303587,0.17894478383673412
15800,87,-16.484767598766656,-0.20571442619401048,10.622021259800531,0.2251416395921951
16000,89,-17.022685318245458,-0.20402269153414943,11.099014691987236,0.20769612664449524
16200,86,-16.394785303392947,-0.2047439146781618,11.31230486613214,0.2142149223153476
16400,90,-17.361896217217378,-0.19726289502306646,10.324404394931248,0.17284478562280534
16600,86,-16.39434562033836,-0.20291023058893967,11.250429768572582,0.22846097080512479
