Episode,Total Episodes,Train Score,Test Score,Prey Epsilon,Predator Epsilon
1000,200000,0.49191445616633406,0.6114491314869581,0.8189264540911916,1.0
2000,200000,0.9250731178445123,0.9502298389743091,0.6701578473993183,1.0
3000,200000,2.0045872698240874,0.866331102722511,0.5477134610842387,1.0
4000,200000,2.183728899415766,0.6457278944279462,0.4474976375839649,1.0
5000,200000,0.44461511148333666,0.18454921108863384,0.366379711437734,1.0
6000,200000,3.5486397930114144,-0.00498010694496085,0.29850576149803587,1.0
7000,200000,21.592708579167954,12.56317966515536,0.2365661969587691,1.0
8000,200000,42.18141474742511,51.67553930038612,0.18158915567407588,1.0
9000,200000,48.088526913959555,1.0159685315353535,0.13808996316144376,1.0
10000,200000,50.10562447014449,51.67519329847639,0.10465863867248754,1.0
11000,200000,51.03479348470434,51.77172914631604,0.09999935800483827,1.0
12000,200000,50.69066804288738,51.66077685008997,0.09999935800483827,1.0
