Episode          Prey Reward      Predator Reward         Total Reward
268                  426                    2                  428
269                  948                  602                 1550
270                   13                  602                  615
271                 2078                    3                 2081
272                 1980                 1145                 3125
273                   44                  502                  546
274                  157                 6822                 6979
275                 1677                  503                 2180
276                   22                  602                  624
277                 1839                  511                 2350
278                   24                  802                  826
279                  950                  502                 1452
280                  123                 1304                 1427
281                   47                  702                  749
282                  532                  502                 1034
283                 2470                  735                 3205
284                   21                  502                  523
285                   26                  702                  728
286                   13                  502                  515
287                   35                  502                  537
288                 1351                 1219                 2570
289                  597                  603                 1200
290                  349                  502                  851
291                   21                  502                  523
292                   57                  903                  960
293                  754                  903                 1657
294                  417                    2                  419
295                 2153                 1721                 3874
296                 2927                 2380                 5307
297                 1081                 1103                 2184
298                  890                  503                 1393
299                 2164                  530                 2694
300                  111                  903                 1014
301                  347                  502                  849
302                   21                  502                  523
303                   12                  702                  714
304                 2552                  121                 2673
305                   17                  502                  519
306                   75                  903                  978
307                  673                  503                 1176
308                   10                  602                  612
309                  123                  904                 1027
310                  101                  903                 1004
311                   34                  602                  636
312                 3083                 2531                 5614
313                  555                  402                  957
314                  342                  502                  844
315                 1125                  504                 1629
316                  753                  902                 1655
317                   45                  402                  447
318                   56                 1003                 1059
319                   61                 1303                 1364
320                 1226                  606                 1832
321                 1587                  754                 2341
322                  328                  602                  930
323                   16                  502                  518
324                   22                  702                  724
325                  530                  502                 1032
326                 1389                  703                 2092
327                  432                  502                  934
328                   27                  602                  629
329                   17                  802                  819
330                   25                  502                  527
331                   10                  501                  511
332                 1289                  303                 1592
333                  666                  903                 1569
334                   24                  302                  326
335                   87                  903                  990
336                 1968                  703                 2671
337                   43                  502                  545
338                  721                    2                  723
339                  731                  902                 1633
340                   37                  402                  439
341                 2058                 1127                 3185
342                   34                  202                  236
343                   26                  402                  428
344                  769                  603                 1372
345                  538                  502                 1040
346                  425                  702                 1127
347                  997                  603                 1600
348                 1055                    2                 1057
349                   13                  702                  715
350                  680                  703                 1383
351                 1053                  503                 1556
352                   11                  802                  813
353                   62                  903                  965
354                  840                    2                  842
355                  518                    2                  520
356                   27                  702                  729
357                  749                  902                 1651
358                   15                  402                  417
359                 2681                  848                 3529
360                   56                  603                  659
361                   62                  903                  965
362                   28                  802                  830
363                  864                  503                 1367
364                   16                  402                  418
365                  642                    2                  644
366                  430                  502                  932
367                   46                  602                  648
368                  528                  802                 1330
369                   12                  502                  514
370                 2269                  333                 2602
371                   31                  402                  433
372                   51                  602                  653
373                   17                  802                  819
374                 1185                  503                 1688
375                   22                  502                  524
376                  347                  502                  849
377                  656                  503                 1159
378                  560                  803                 1363
379                 1244                  514                 1758
380                   29                  502                  531
381                 1581                 1244                 2825
382                  858                    3                  861
383                   15                  502                  517
384                   18                  702                  720
385                 1676                 1937                 3613
386                  422                  502                  924
387                   14                  602                  616
388                   16                  802                  818
389                   31                  502                  533
390                 2028                    8                 2036
391                   69                  903                  972
392                 1737                 1211                 2948
393                 2422                 1578                 4000
394                   26                  702                  728
395                 1793                  503                 2296
396                   20                  602                  622
397                 3162                 1212                 4374
398                   71                  903                  974
399                  364                  503                  867
400                   10                  502                  512
401                   14                  702                  716
402                 2041                  913                 2954
403                 1051                  502                 1553
404                  525                  802                 1327
405                 1379                    3                 1382
406                  889                  503                 1392
407                  665                  903                 1568
408                   26                  302                  328
409                  756                  503                 1259
410                 1666                    3                 1669
411                  431                    2                  433
412                   14                  602                  616
413                   23                  802                  825
414                  937                  502                 1439
415                   45                  502                  547
416                   38                  702                  740
417                 1276                    3                 1279
418                  783                  703                 1486
419                 2581                  645                 3226
420                   24                  402                  426
421                   35                  602                  637
422                 1761                 1629                 3390
423                   11                  502                  513
424                 1318                  503                 1821
425                   64                  703                  767
426                  621                    2                  623
427                   74                 1103                 1177
428                 1526                  504                 2030
429                   75                 1103                 1178
430                  548                  502                 1050
431                  435                  702                 1137
432                 5199                 4444                 9643
433                 1089                  503                 1592
434                  534                    2                  536
435                   50                  702                  752
436                  770                  903                 1673
437                   10                  402                  412
438                   19                  602                  621
439                   36                  802                  838
440                  626                  502                 1128
441                  138                 2811                 2949
442                  113                  703                  816
443                 2459                 1124                 3583
444                   29                  502                  531
445                   21                  702                  723
446                 1946                  514                 2460
447                 3209                 1653                 4862
448                  667                  403                 1070
449                   14                  802                  816
450                   76                  903                  979
451                  343                  502                  845
452                  774                 1003                 1777
453                 3078                 3123                 6201
454                   16                  602                  618
455                   51                  802                  853
456                   11                  502                  513
457                   16                  602                  618
458                 2958                  329                 3287
459                  133                 2411                 2544
460                   28                  402                  430
461                 2879                 1041                 3920
462                   12                  402                  414
463                   75                  803                  878
464                   36                  802                  838
465                 1669                 1533                 3202
466                  525                  502                 1027
467                  434                  702                 1136
468                   29                  602                  631
469                  424                  502                  926
470                   70                 1003                 1073
471                 1398                  803                 2201
472                   64                 1003                 1067
473                   19                  702                  721
474                 2088                    3                 2091
475                   34                  602                  636
476                   19                  802                  821
477                  962                  503                 1465
478                   73                  603                  676
479                   19                  702                  721
480                  560                  503                 1063
