Episode,Avg length,Avg prey reward,Avg predator reward
1620,359,-0.011107695365765072,0.25137529459722524
1640,350,-0.013738256316678282,0.24488955942620877
1660,462,0.014433735263177209,0.23373452497001562
1680,401,0.009493838508186622,0.24186899038920923
1700,405,0.00853836367731684,0.23401512279439113
1720,410,0.0163444959346879,0.23353270727430794
1740,463,0.016789440745166438,0.22857066964613834
1760,419,0.023219097511663133,0.2502047280774094
1780,442,0.025502416299536458,0.2326516644007504
1800,399,0.022309430306783423,0.23346603737048882
1820,361,0.028774212125311394,0.2342119830412595
1840,472,0.028042594578442166,0.22571613888072312
1860,449,0.032134160219699434,0.23033094641629653
1880,416,0.030447726597775483,0.235470510015086
1900,406,0.04484763218957864,0.22803673872661245
1920,456,0.03245558714687981,0.22987714417762825
1940,397,0.03260872834493357,0.24163466827935345
1960,374,0.02074959816015668,0.24173820516398825
1980,405,0.031585083612973595,0.24380911953946457
2000,381,0.02684401224376175,0.25503887326864455
2020,366,0.012908301581482266,0.2527329355167048
2040,431,0.03123606494062383,0.2399439590824219
2060,407,0.027936425301528085,0.2513783463058971
2080,408,0.018115453761935966,0.26249540698643287
2100,337,0.007434572984501657,0.2618317405919612
2120,312,0.011644461897784652,0.25503277456358375
2140,356,0.029841921207521365,0.25641414811270785
2160,413,0.03117086335089527,0.24756820094642648
2180,382,0.02399347013681128,0.24668820601483196
2200,401,0.026046705149671834,0.24803782225038168
2220,452,0.021568495908930296,0.2335874543042157
2240,382,0.018654129567812813,0.23522078867968776
2260,423,0.035416716751653164,0.24771861043298604
2280,426,0.022608817157688886,0.257149856490698
2300,445,0.016895306411212372,0.24741202299987589
2320,479,0.04146748526628367,0.23327722476747428
2340,450,0.03895312805427509,0.22131836914390135
2360,468,0.0353845437071452,0.2412744683992419
2380,462,0.037212233307126974,0.22743169329750917
2400,415,0.030245602720557725,0.2469907139787296
2420,455,0.033188657901481455,0.22743223215724093
2440,462,0.03298439813789158,0.22950230163629315
2460,448,0.03494856550404078,0.23217677388792074
2480,415,0.006334980949169516,0.23437313503699234
2500,396,0.019002897254865436,0.242533498222336
2520,325,0.0032699172783180546,0.2512376776475708
2540,411,0.03175726886988718,0.24400352883269377
2560,398,0.022395576284565715,0.24260746590081558
2580,386,0.014737740721126838,0.24155635536472295
2600,402,0.02251578324051883,0.2482932773417604
2620,461,0.02970827750480217,0.24985465905586507
2640,399,0.024506786614139492,0.2491093091831303
2660,398,0.02061714477424112,0.24127567877652237
2680,403,0.018153260939884844,0.24226270593030863
2700,421,0.013933258620487554,0.23537557501910658
2720,530,0.030118843162641313,0.2269868366664201
2740,391,0.007818545304489631,0.23850945521048175
2760,415,0.012525374989352179,0.24335064128943115
2780,484,0.01344881942345598,0.24080228683720772
2800,407,-0.014949959439917662,0.2297195824029524
2820,372,-0.005600820990168854,0.24256752163238984
2840,423,0.03242607758219512,0.2463554524516812
2860,437,0.01529481902840501,0.23542906443176265
2880,471,0.030820144560601025,0.23090731847924975
2900,474,0.044991081676496715,0.22671726610121268
2920,484,0.04274341346493855,0.22416210670210202
2940,513,0.0346642092834271,0.2278484336623928
2960,540,0.03458986392291199,0.22875123913000772
2980,508,0.03126073601369361,0.2279654768655181
3000,476,0.022770527597056195,0.21639164959658935
3020,444,0.03726898626777123,0.23902636232246124
3040,413,0.037934501765581566,0.23645798330225426
3060,414,0.021350722994491443,0.24738560215343677
3080,491,0.041223806897335596,0.24341874183778614
3100,498,0.03633430318382329,0.23521299653968192
3120,421,0.018235595836819805,0.2624909258265177
3140,486,0.03319978336534114,0.22816538031156375
3160,428,0.0463482064281413,0.24446989307628172
3180,452,0.02981380358798964,0.22531249663471406
3200,544,0.04065169475169119,0.20596388693920842
3220,490,0.047053327868459505,0.23544426326461934
3240,504,0.039716170459973305,0.22345978484559584
3260,466,0.035852107176258294,0.21833077525008648
3280,578,0.04857641330872375,0.19763806534784562
3300,524,0.04072291843720487,0.22538678146921565
3320,621,0.042431696200128696,0.18856997220209304
3340,483,0.044028861661181876,0.21310839088183647
3360,497,0.03375028879579915,0.21373550109478243
3380,477,0.04379086186587323,0.23351382537015203
3400,512,0.042930336293318216,0.20535893783993306
3420,475,0.028043000074703027,0.2116495244735929
3440,477,0.03855992121688408,0.2169516579472322
3460,514,0.02888256205565031,0.22106169096551573
3480,504,0.0228070528217976,0.22121236155383112
3500,607,0.04429339085644475,0.21080733581007402
3520,561,0.04071811513542321,0.2123166107594737
3540,554,0.039009200914478376,0.22147183010321309
3560,647,0.05406656288659092,0.19321245403562998
3580,491,0.043579693747511694,0.23058293001299143
3600,474,0.030949415352652228,0.2375395142917541
3620,574,0.039162754079178554,0.2240696917938573
3640,508,0.030783651920031584,0.21304069713648977
3660,549,0.01769939731375537,0.21095615094166348
3680,525,0.0342564229361513,0.22070967489003657
3700,543,0.043059641836143976,0.22416601853542945
3720,498,0.02076182436542991,0.21863521285093443
3740,485,0.0327403492044397,0.2286117742967965
3760,475,0.024479607572318644,0.2286683230324753
