Episode,Avg length,Avg reward
30600,595,2820.797901051814
30800,594,2800.2253817920423
31000,598,2764.5997421863785
31200,595,2748.3816636176266
31400,597,2857.588864233235
31600,596,2782.870745366101
31800,599,2833.3311604687483
32000,593,2788.038699620025
32200,598,2788.5523295373428
32400,594,2817.870996184117
32600,595,2794.326351859879
32800,593,2759.316527371421
33000,598,2766.028110256529
33200,590,2791.5387587726705
33400,590,2679.7283871903674
33600,596,2763.749600311034
33800,591,2661.323700122859
34000,590,2760.980269260873
34200,594,2767.9179738739276
34400,594,2698.8679415165734
34600,593,2814.352620033399
34800,588,2710.3019573566103
35000,597,2806.1692926010005
35200,592,2659.09744299546
35400,593,2713.506108945192
35600,598,2720.407309935981
35800,596,2796.3473967166356
36000,597,2792.2416708859655
36200,597,2792.009377309184
36400,591,2690.3553584340507
36600,594,2830.1531386150878
36800,592,2724.395970773918
37000,597,2859.579933829968
37200,588,2722.400957628652
37400,599,2810.497419797911
37600,596,2881.7783714433504
37800,598,2832.8236766108485
38000,599,2847.991810284253
38200,599,2935.918000763082
38400,596,2863.9078756142017
38600,595,2820.7306994393507
38800,594,2702.106207901753
39000,596,2861.389191468094
39200,597,2884.8027705962904
39400,594,2803.3058925065357
39600,597,2822.486323709598
39800,597,2803.370528770709
40000,596,2814.0332208094705
40200,598,2808.7827055819575
40400,592,2856.357507185935
40600,589,2773.3085406001833
40800,593,2806.146487554117
41000,593,2795.2576027823925
41200,595,2823.0644475547447
41400,595,2736.851816647553
41600,596,2813.407238902485
41800,596,2804.2719752617045
42000,595,2850.9494777963405
42200,594,2800.445933460903
42400,597,2713.659573752774
42600,598,2856.5057610408885
42800,596,2815.05078705821
43000,594,2762.612856559326
43200,594,2814.687371120643
43400,594,2838.771469091025
43600,595,2834.7425111200123
43800,594,2773.078783995357
44000,594,2875.616075196312
44200,591,2834.929543022366
44400,598,2915.3569826211806
44600,590,2886.1278261880175
44800,596,2876.377824123892
45000,595,2842.3833400721387
45200,595,2882.594894357584
45400,592,2779.7099919490006
45600,591,2850.8925569151143
45800,596,2941.902482938157
46000,596,2843.639890600562
46200,596,2819.008086641855
46400,591,2852.2646854022714
46600,599,2859.3954867581765
46800,599,2866.845410375339
47000,598,2822.295632508509
47200,590,2758.881460799252
47400,599,2902.445227425572
47600,595,2875.3213604090042
47800,598,2848.6289952700627
