Episode,Train_Return,Episode_Length,Test_Return,Value_Loss,Policy_Loss,Old_Approx_KL,Approx_KL,Clip_Fraction,Explained_Variance
0, -26.375913619995117, 24, 0.45082521438598633,28.136930465698242, -6.444399833679199, -0.1353704333305359, 0.020713135600090027, 0.48148148148148145, 0.00034058094024658203
10, 2.505465269088745, 24, 5.634183406829834,0.25387752056121826, 0.17066580057144165, 0.14013057947158813, 0.015082687139511108, 0.5115740740740741, -0.0073081254959106445
20, 5.169930934906006, 24, 0.8930007815361023,158.69703674316406, -8.928977012634277, -0.21158373355865479, 0.0706496387720108, 0.5115740740740741, -0.006291747093200684
30, 6.28598165512085, 24, -1.723345398902893,0.0794651061296463, 0.19295871257781982, 0.09325629472732544, 0.08321776986122131, 0.4722222222222222, -0.007821798324584961
40, -3.176201105117798, 24, -7.616790294647217,114.32209014892578, 6.118021011352539, 0.2872743010520935, 0.14281673729419708, 0.7523148148148148, 0.0016117691993713379
50, -2.8096113204956055, 24, -0.6905491948127747,9.244338989257812, -1.666433334350586, 0.08223432302474976, 0.029303133487701416, 0.5231481481481481, -0.07842481136322021
60, 6.108941555023193, 24, -57.652347564697266,1.8210965394973755, -1.4088449478149414, -0.026879608631134033, 0.005117759108543396, 0.43287037037037035, 0.006008327007293701
70, 11.054824829101562, 24, -0.8710458874702454,0.57087641954422, 0.836401641368866, -0.07972443103790283, 0.012973129749298096, 0.44675925925925924, -0.000929713249206543
80, -6.203845977783203, 24, -1.4638184309005737,26.203338623046875, 5.62074089050293, 0.1659095287322998, 0.01571120321750641, 0.47685185185185186, -0.003648996353149414
90, -0.35644423961639404, 24, 0.26917406916618347,2.327090263366699, 1.6490858793258667, 0.14934223890304565, 0.011182501912117004, 0.3773148148148148, -0.043128371238708496
100, 0.4962967336177826, 24, 0.02765246294438839,4.921076774597168, -1.3962160348892212, 0.05501645803451538, 0.010524213314056396, 0.05555555555555555, -0.04814291000366211
110, -0.7559741139411926, 24, 2.7642288208007812,2.186168909072876, -2.0234215259552, -0.07628905773162842, 0.006449013948440552, 0.375, -0.07080519199371338
120, -6.57592248916626, 24, -19.387468338012695,80.71605682373047, 9.267034530639648, 0.3901404142379761, 0.12392270565032959, 0.6435185185185185, -0.0013390779495239258
130, 1.1392234563827515, 24, -0.7111895680427551,2.6049857139587402, 1.9098262786865234, -0.02461981773376465, 0.0042481571435928345, 0.28703703703703703, -0.002105712890625
140, 7.879597187042236, 24, 6.779444217681885,0.14197014272212982, 0.3151095509529114, -0.033869266510009766, 0.007584810256958008, 0.38657407407407407, -0.0006618499755859375
150, 4.603097438812256, 24, -11.963173866271973,43.66352081298828, -7.450242042541504, -0.008195996284484863, 0.0023071467876434326, 0.12731481481481483, 0.001157522201538086
160, -10.621930122375488, 24, 6.581977844238281,105.63507843017578, 2.5701661109924316, 0.2556009292602539, 0.1603146493434906, 0.8055555555555556, -0.00012576580047607422
